topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0.0,2.4453591876939694e-19,0.0,0.06124496836587277,0.13048918974312856,0.028096345499450816,0.0,5.854690105425957e-65,0.009702283691280573,1.1478480285964971e-10
1.1676169990471082e-11,0.14039745838153522,0.0,0.0183809393412529,0.0,0.0,0.0,6.272243419905381e-34,5.006654851069677e-289,6.25926817792023e-18
0.0,0.09510415565428285,9.514867010362715e-12,0.0,0.0,0.06403128267141378,0.0,3.344036199061287e-07,0.0,0.02700761116803386
0.0,0.13325622466615,0.0,0.0,7.039443997830499e-14,1.8834961072494742e-32,0.0,1.1807787906089105e-32,9.425262652658244e-288,1.1823717270213256e-16
0.0,0.08500939692195648,1.1800117789879704e-10,2.66148627131469e-17,0.05354070702374195,4.564619096600383e-30,2.6137537311717227e-08,0.04493046017469759,0.0,1.0314898013028421e-29
0.049644829548280624,0.06304969838780906,0.0,0.01982796014825538,0.0,0.0,0.0,0.0,0.0,0.06113219004453067
0.0,0.053545501383637666,0.020308766410834737,0.08533927636586408,6.564119134609143e-17,2.868091372222434e-05,0.0,0.0,0.013963421105766212,6.785724660594827e-18
0.0,0.03017229545604161,1.5560345079426722e-08,1.881190462620411e-15,0.09138145980279609,0.055242675190112674,0.0,1.9523477381445136e-09,0.0,5.1948298875840244e-24
0.0,0.11902528681973928,0.0,0.0,0.032368985612161554,0.0,1.7177614370736208e-25,7.172146239953407e-19,1.6181165057586469e-09,4.2184396147991523e-16
0.0,0.1325948321833296,6.376798851953357e-09,2.087270090789164e-11,0.05320797769493155,7.152140330187329e-12,0.0,0.0,0.0,5.5206783659593364e-18
0.0,8.89188154615531e-14,2.514020950053252e-125,1.1464404445351435e-16,0.0,0.28441123883622743,0.0,1.984588040527971e-21,3.512538118413961e-08,1.7995154924095228e-27
9.807436501941843e-255,9.711638140607487e-10,5.5618898589495174e-126,0.0,5.0143769882271065e-12,0.1929456332779712,0.0,1.8734619999668092e-19,0.06574255139767224,3.9811546577083606e-28
0.0,0.03823229494663328,0.0,0.0,0.0,0.0290514713325629,0.051561224729829554,3.2074790257049266e-10,0.0,0.0
0.0,2.2096589104725855e-13,1.6181193264144252e-118,0.0,0.0,8.3261125625956e-08,0.0,1.049906424358163e-08,0.14037869730368824,1.2034588278603119e-17
0.0,0.11992913724367565,6.63511590724416e-260,1.5373272645029924e-16,5.7418540006033756e-213,0.0,0.0,2.0325005323374516e-37,0.0,1.5886358957988154e-11
0.0,0.0694762572502487,0.0,0.0,0.0842033804604925,3.764894460298497e-18,3.7733157655248984e-14,3.990428297907451e-35,0.0,0.0
0.0,9.455157998314549e-12,0.0009018851538210069,3.9828152712852885e-274,2.9129279058446584e-18,1.27281168528082e-06,0.0,0.0,2.448741766299536e-291,0.1917431786931508
0.0,0.0,0.10033969920567727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07854612940197302,0.0,0.0,0.0,0.0,0.0,0.05092848465549857,0.013590436031273396,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.038199057395846454,0.0,0.11060316304589403,0.0
0.0,0.06687841002955536,0.0,0.0,0.0,0.0,0.0,0.06296832850282441,0.0,0.0
0.0,1.0021731709806512e-15,0.0,0.0,0.0,2.870870697413602e-05,0.0,0.0,0.0,0.11144570842040936
0.0,1.3289969670380567e-31,0.0,0.0,1.0845562378845328e-113,0.0,0.0,2.003737777709751e-20,0.0,0.19281463264739995
0.0,5.8193508100539795e-05,1.002195232018944e-39,0.053150246394129505,0.017516162810941524,0.0,0.0,0.0,0.0,0.12905113664940893
0.0,1.0246066736881359e-17,0.0,0.0,0.0,0.0,0.0,0.0,7.88166899698199e-15,0.15761038280876236
0.0,0.0,0.06335314832608631,0.0,0.0,0.0,0.0,0.0,0.0,0.08653360975221033
0.0,0.0,6.776253495955797e-12,6.500275347769863e-21,1.1526781591236504e-113,3.1789989547799516e-236,0.0,5.478067059683429e-08,1.5895377078023777e-195,0.1927292052328881
