topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0.0,0.0010400587701455183,1.9485269512882128e-21,0.12441420044860099,0.013763200877563704,7.74542464669647e-23,4.163333118168639e-104,4.0913978101675826e-18,1.700516825540262e-08,0.0
0.0,0.017035686980141806,2.8676056113553143e-10,5.379173978976254e-08,1.1745104116898856e-18,1.1638026439650516e-196,1.719472400030927e-17,1.9077231944385356e-56,0.00018855722350078597,0.0
0.0,6.391046545490951e-13,3.589290978953464e-10,0.003862564686940067,0.0,0.0,0.0,0.0,6.190827813504344e-24,0.0
0.0,0.02578676733858858,2.5900427319323396e-22,1.593368827967571e-211,0.0,0.0,0.0,4.5860034789961475e-08,0.004542402212375404,0.0
0.0,8.916284896296266e-93,0.0,0.00011562701917396077,0.09973649790242219,1.6315235822205247e-23,0.0,0.0,1.763747756246829e-15,0.0
0.0,5.790592792387924e-11,5e-324,4.9106757011148524e-05,0.0,1.7953351479910314e-18,3.7646723529308983e-25,1.2358501533809976e-50,0.04434543654832177,0.0
0.0,0.012695121551684755,0.0,3.666907668301526e-122,1.402115260303503e-07,2.0941174456853743e-21,0.0,4.624443169897765e-17,0.0006800355036679693,0.0
0.0,0.1870620425597628,3.0573663093157254e-278,5.78641424113181e-07,1.3324956655001482e-264,0.0,1.9295998662920967e-287,7.186790520616456e-28,0.07847827335700917,0.0
0.0,0.007132673462117798,3.043130800694969e-08,1.6946386258671327e-61,0.0005849441678716934,2.2565291959232777e-14,6.536462343483201e-12,1.0221674861428337e-07,2.215464709746478e-05,0.0
0.0,0.006507329707240913,0.0,2.4979105333848503e-07,1.5965113670498752e-301,0.0,0.0,4.0658082431148765e-18,1.991513842678294e-22,0.0
0.0,0.1160795395917284,3.4348073416206762e-282,6.340371358606218e-09,2.5542617445613955e-268,5.0181547760292754e-169,0.0,2.8721357673545376e-18,0.02955934877676646,0.0
0.0,1.4562480033108408e-47,0.0,0.0,2.5700152388587155e-08,0.0,0.0002751262322231503,0.0,2.6580564438475196e-08,0.0
0.0,0.003072553140638429,8.889632199753652e-165,3.391337035157769e-23,0.0,0.0,0.0,3.4047385208263233e-20,2.492000565673836e-109,0.0
0.0,7.191168281624959e-07,1.8383404819798204e-78,4.829619864235903e-13,0.0,0.0,0.0,0.007869504088564424,3.708110825010281e-07,0.0
2.3752968740168174e-10,0.0053271173874184135,0.0,3.2549050637028405e-15,3.8530743944580613e-302,0.0,1.2597070474678948e-07,9.50500587852065e-19,0.00247462923304214,0.0
0.0,1.7492568784474008e-09,2.1809053739217576e-188,0.08630798202606585,9.51883589949598e-15,0.13320092986208176,0.0,3.0349735697838662e-18,0.014416229821081726,0.0
7.553972070540434e-10,1.061378823963226e-06,5.4333157313429024e-188,0.08822868266265291,2.435864496590152e-257,3.2135299563440163e-104,0.0,4.4995343166731325e-53,1.162114517343556e-18,0.0
0.0,0.019593072099393642,2.8054910910485077e-19,4.0199349513364936e-61,0.0,7.600865333917811e-17,0.0020986860349480633,3.3065422206520963e-21,7.10863168094474e-20,0.0
0.0,0.00315188716162624,0.0,6.086669397224588e-12,4.610289204324568e-09,0.0,0.0,1.75063700789911e-54,2.8927327479421384e-14,0.0
0.0,0.09218444733555593,2.8487132178103713e-08,1.4223700196851376e-07,0.008119293592970289,3.268337345609006e-135,0.0,0.003648069012885229,1.9234239253068088e-14,0.0
3.861512818803453e-06,0.02587829695682824,3.4483793094216646e-19,0.09260583193886758,5.674253161616531e-257,9.4082199288111e-104,0.0,3.2682841348662837e-18,1.4088651776730833e-31,0.0
0.0,0.003938911184549846,1.6460497271417397e-08,0.0024733878901206548,1.2410336794400341e-08,2.9508462512656394e-49,7.550709280111959e-13,9.903330276636642e-11,0.03156477890471023,0.0
0.0,0.10631459953765506,1.6639551073991593e-09,7.197190987946411e-09,0.0034220875390002085,4.890834992166712e-20,3.590124857972081e-12,1.5895299015419263e-06,4.619284542536905e-09,0.0
0.0,0.1378540780144979,1.1284408791487917e-281,5.003814538256578e-123,1.076888973871309e-267,1.1641631810427353e-23,0.0,1.1174451123666323e-17,6.52914422933079e-95,0.0
