topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
2.92010227878007e-36,appear,1.0849294491582929e-06,appear,1.9366723842097417e-33,appear,1.9753468856568516e-33,appear,9.910847226783354e-34,appear,4.3324416477086787e-32,appear,0.05059896551047577,appear,4.4965248646086486e-27,appear,1.9214106104113006e-33,appear,4.4137543848674265e-33,appear
5.13885656177259e-35,apple,1.61833203223923e-33,apple,1.987811016550166e-33,apple,1.2021387431905054e-33,apple,6.841672206077849e-34,apple,1.0674106089113443e-33,apple,2.8517937043356012e-33,apple,1.9885571050868194e-33,apple,1.3042724521602706e-32,apple,2.951336226114473e-34,apple
0.06277319263722302,architect,1.9851686891921763e-33,architect,1.6136366149377584e-34,architect,1.9871325728294114e-33,architect,1.9868456361399224e-33,architect,5.8851070739059076e-36,architect,1.9875112844485495e-33,architect,1.9733318731899797e-33,architect,1.987003712494046e-33,architect,9.285912302544283e-34,architect
1.8490314600712613e-35,area,1.8346137870866742e-32,area,1.9420868245776767e-33,area,3.4227448114006896e-30,area,2.720674773107682e-33,area,7.00673835027368e-33,area,4.182808008343835e-30,area,0.02435333483463162,area,2.261450814247212e-06,area,8.875329621371196e-33,area
0.09160893086563274,artist,1.98532361057865e-33,artist,7.236931971224969e-35,artist,1.9874955781466298e-33,artist,1.9870361358249895e-33,artist,4.783241657874005e-34,artist,5.617210470581679e-34,artist,2.1501428882809666e-34,artist,6.5881995655582496e-34,artist,7.810225166198137e-34,artist
4.6646127373718294e-36,asia,5.727462614999767e-11,asia,1.9867799814647653e-33,asia,1.0325923930601495e-25,asia,1.9866631918471148e-33,asia,1.1701698071813283e-33,asia,4.1720893437041764e-33,asia,1.4190279731189188e-26,asia,2.0527078436222065e-26,asia,1.9874737420185456e-33,asia
4.366960484806088e-36,asian,6.075254112402195e-31,asian,0.0005583124197157284,asian,5.237247707798079e-28,asian,8.94679874622723e-32,asian,1.9877779011135603e-33,asian,7.846303914815436e-34,asian,3.7411270265357754e-33,asian,5.225648137640725e-24,asian,1.996164922964573e-33,asian
6.603568197612915e-36,asians,1.75074475423569e-27,asians,1.1486129174265594e-32,asians,1.9912912246019194e-33,asians,1.0938620081511594e-29,asians,1.990178832092014e-33,asians,3.955349058214865e-32,asians,2.0924672128082762e-33,asians,2.4024755821876388e-32,asians,1.9902910298656264e-33,asians
4.737539855954291e-34,assassination,1.391682263706867e-31,assassination,1.8259471212635633e-33,assassination,0.061288999576820914,assassination,1.8323045255155868e-28,assassination,1.981641539897603e-33,assassination,1.1029891678849257e-27,assassination,0.003959173917598023,assassination,4.783624436289536e-30,assassination,4.551002068829302e-33,assassination
4.138872167320887e-36,assisted,3.021465203712327e-06,assisted,1.994418565773627e-33,assisted,2.7746678284699152e-33,assisted,1.987506220988152e-33,assisted,8.901099006749862e-34,assisted,2.5189329635036743e-30,assisted,1.1245348615639684e-33,assisted,1.9867961004481854e-33,assisted,1.9874284484254944e-33,assisted
0.06306509630310136,astronomer,1.9853295467506026e-33,astronomer,1.5911172156070652e-34,astronomer,1.9871410139513513e-33,astronomer,1.9868591468478023e-33,astronomer,5.172057777620991e-36,astronomer,1.9875240040953717e-33,astronomer,1.973292480801759e-33,astronomer,1.9870426899540142e-33,astronomer,9.574578652597037e-34,astronomer
1.5951625026391856e-35,atmosphere,2.948584500290768e-32,atmosphere,1.847983567848142e-33,atmosphere,0.05048131030824894,atmosphere,6.705967012706482e-33,atmosphere,3.110976101239146e-32,atmosphere,0.04818833769330589,atmosphere,1.0066005274076356e-31,atmosphere,2.04559288115949e-28,atmosphere,1.9896171064307534e-33,atmosphere
3.744053479358968e-36,atomic,9.318129234062549e-33,atomic,2.0320222240132776e-33,atomic,1.3177892312576743e-32,atomic,1.9984272911984662e-33,atomic,1.0709843740361393e-33,atomic,4.489980585656666e-33,atomic,0.015565215057416048,atomic,2.0258331187740556e-29,atomic,1.9886073364502677e-33,atomic
1.0917540628659755e-35,attack,7.641952899715335e-15,attack,1.8319607654367053e-33,attack,0.08344589980684437,attack,1.910062910707673e-33,attack,1.9530847506909604e-33,attack,1.953986764895141e-33,attack,1.3322199126185755e-33,attack,1.3483400902568586e-33,attack,1.6742224193758703e-32,attack
1.133641455793012e-34,attacks,1.68167011512998e-11,attacks,1.5857285896479446e-33,attacks,0.19339470186539812,attacks,5.784909135098578e-19,attacks,1.930277862582784e-24,attacks,5.319390269125002e-32,attacks,8.673431598830998e-10,attacks,6.522182631883449e-28,attacks,4.673174101925139e-32,attacks
2.8489832026113076e-35,attempt,7.177014354841602e-30,attempt,1.986971397214868e-33,attempt,1.1983910033952877e-07,attempt,1.0204296151432558e-31,attempt,1.9868100439128723e-33,attempt,1.020514050147306e-33,attempt,5.790009279301858e-06,attempt,7.796891441632849e-23,attempt,1.987741130904771e-33,attempt
