top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
topic_4,71.63989742262837,topic_2,28.360102575995384,topic_3,1.3762550863535362e-09
topic_2,61.33073649305843,topic_10,38.66926350675614,topic_4,1.854349962425827e-10
topic_7,99.99999999999999,topic_1,0.0,topic_2,0.0
topic_9,60.55426636104608,topic_4,39.44573363895114,topic_6,2.784681515362437e-12
topic_9,70.14716988900048,topic_8,28.276212823813424,topic_10,1.351484291611467
topic_9,100.00000000000001,topic_2,4.80036392895022e-23,topic_1,0.0
topic_4,99.99999999669696,topic_2,3.303046104163723e-09,topic_1,0.0
topic_2,38.25385396834112,topic_5,23.434967701036296,topic_7,15.452530310414332
topic_2,40.995907629312406,topic_5,32.11508206873263,topic_3,26.88900948009464
topic_10,40.69598993180749,topic_9,31.914040013787762,topic_5,27.389970013930906
topic_2,66.87803515363532,topic_5,33.12188060113912,topic_9,7.274932463913867e-05
topic_10,34.50860487758918,topic_4,32.72599104249995,topic_2,23.648949416612393
topic_4,51.659481773856484,topic_5,48.340518226143516,topic_1,0.0
topic_10,38.665939553447316,topic_3,27.92549878110321,topic_9,9.965410807179259
topic_2,99.99854281147694,topic_6,0.0014570403009307074,topic_9,1.481289918439068e-07
topic_8,99.996644493964,topic_4,0.003355499511883892,topic_1,6.491477546589342e-09
topic_10,88.26976470368174,topic_2,11.73023529631827,topic_8,5.178377005042943e-18
topic_8,99.9999994942827,topic_4,5.057172957754187e-07,topic_6,6.81508006016975e-15
topic_10,91.35138526022351,topic_2,8.648614739776503,topic_8,1.331179041087112e-19
topic_10,92.71237314034846,topic_2,7.287626857734947,topic_4,1.916463157949545e-09
topic_3,26.83983417091921,topic_4,25.613470365847725,topic_2,24.29395921167648
topic_2,68.93108309186755,topic_6,31.068916898814884,topic_10,9.305511374324481e-09
topic_2,59.033962356058424,topic_4,40.63542286217782,topic_9,0.33061477848002324
topic_2,78.95575555135784,topic_8,21.044244439906578,topic_4,8.714389579030326e-09
topic_2,99.99999999992659,topic_10,7.309175321504271e-11,topic_4,3.3973738315139987e-13
topic_2,87.83637763382245,topic_9,12.082327441940484,topic_8,0.0812949241562662
topic_2,69.93430294091777,topic_3,30.065696959609948,topic_5,9.943443794798027e-08
topic_2,99.99422073995392,topic_8,0.00577926004607054,topic_9,9.480484993858624e-15
topic_2,72.24113876204221,topic_8,14.376585417896143,topic_4,13.382275720744007
topic_2,99.99999999999997,topic_9,1.4808061256804877e-14,topic_4,2.4172108676323118e-17
topic_2,56.43103531042084,topic_3,43.56896468957917,topic_6,4.1586716914018716e-20
topic_2,76.50478657380457,topic_4,23.36890357885047,topic_9,0.11630897349593311
topic_2,97.37973954274186,topic_7,2.584212330282331,topic_9,0.0360481269757284
topic_10,99.9999998912478,topic_2,1.0875220356295757e-07,topic_3,1.4740744589080574e-260
topic_2,99.89360574038085,topic_9,0.1063942596146599,topic_8,4.494506940787114e-12
topic_2,77.80335678433525,topic_9,22.196545386494183,topic_5,9.782913779532811e-05
topic_2,99.9976074145583,topic_9,0.0023925854416977114,topic_5,1.1971324508279707e-16
topic_5,59.66523819201485,topic_2,27.40344467413641,topic_6,12.931317130783071
topic_2,57.19844809299504,topic_5,42.8015519069026,topic_4,9.656631190588719e-11
topic_5,36.74001912583672,topic_10,20.936683809875415,topic_2,15.017251891079846
topic_6,99.99999999999986,topic_3,1.315057654715452e-13,topic_2,3.997523926442324e-15
topic_9,99.99999933870542,topic_2,6.579733702928724e-07,topic_4,1.753016904375855e-09
topic_9,88.33739276798644,topic_4,11.662607231692316,topic_5,3.2124102798703955e-10
topic_9,48.972642933341504,topic_2,35.2814295361728,topic_5,15.745927529438402
